Target Geo Id,Geographic area,Total population,Percent of total population - Under 18 years,Percent of total population - 18 to 24 years,Percent of total population - 25 to 44 years,Percent of total population - 45 to 64 years,Percent of total population - 65 years and over,Median age (years),Males per 100 females - All ages,Males per 100 females - 18 years and over
1590000US1208602681,Aventura city,35762,15.4,5.5,27.8,24.8,26.6,46.1,84.6,81.2
1590000US1208603275,Bal Harbour village,2513,15.5,4.2,21.7,26.5,32.1,51,79.5,75.7
1590000US1208603975,Bay Harbor Islands town,5628,21.7,5,30,26.1,17.1,41,87,81.9
1590000US1208606600,Biscayne Park village,3055,21.5,6.4,31.6,29.6,10.9,40.4,94.8,93
1590000US1208609000,Brownsville CDP,15313,29.6,11.6,24.8,23.1,10.8,31.1,90.8,85.3
1590000US1208614250,Coral Gables city,46780(r40503),17.9,16.6,23.8,26,15.6,38.8,89.7,87.2
1590000US1208614412,Coral Terrace CDP,24376,17.6,8.3,25.6,26.6,21.9,44.1,91.8,88.9
1590000US1208614895,Country Club CDP,47105,25,10.1,33.2,23.2,8.5,33.7,86.6,81.5
1590000US1208615055,Country Walk CDP,15997,27.9,8.9,29.6,25.1,8.5,36.1,92.3,88
1590000US1208615968,Cutler Bay town,40286,25.8,9,29.5,25.1,10.6,36.3,93.3,90
1590000US1208617935,Doral city,45704(r40506),28.3,8.4,36,21.4,6,34,92.5,88.4
1590000US1208620650,El Portal village,2325,18.9,9,28.3,32.5,11.2,40.9,97.9,98.4
1590000US1208622375,Fisher Island CDP,132,10.6,3,13.6,34.8,37.9,61.3,106.3,100
1590000US1208622975,Florida City city,11245,34.8,12.4,26.9,19,6.9,26.8,90.4,87.6
1590000US1208624562,Fountainebleau CDP,59764(r40507),18.8,9.4,30.2,26,15.6,39.5,86.2,82.9
1590000US1208625987,Gladeview CDP,11535,29.2,12.4,25.4,23.2,9.8,30.8,91,84.4
1590000US1208626100,Glenvar Heights CDP,16898,17.2,10.8,30.6,26.9,14.4,38.7,87.9,86
1590000US1208626250,Golden Beach town,919,28.3,9.1,17.7,32.8,12.1,41.6,99.3,95.5
1590000US1208626375,Golden Glades CDP,33145(r40510),26.5,11.1,26.3,25.5,10.5,34.1,90.2,86.8
1590000US1208626950,Goulds CDP,10103,32.1,11.3,26.8,20.7,9.1,30,88.1,82.8
