Target Geo Id,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
1590000US1208602681,Aventura city,35762,26120,3.51,0.85,2.65,13487.2,9850.8
1590000US1208603275,Bal Harbour village,2513,2780,0.65,0.26,0.39,6492.1,7181.9
1590000US1208603975,Bay Harbor Islands town,5628,3199,0.53,0.14,0.4,14221.7,8083.7
1590000US1208606600,Biscayne Park village,3055,1324,0.63,0,0.63,4843.1,2098.9
1590000US1208609000,Brownsville CDP,15313,5797,2.28,0,2.27,6731.9,2548.5
1590000US1208614250,Coral Gables city,46780(r40503),20266(r17158),37.32,24.4,12.92,3621.2,1568.8
1590000US1208614412,Coral Terrace CDP,24376,8162,3.45,0.08,3.38,7221.5,2418
1590000US1208614895,Country Club CDP,47105,17754,4.44,0.3,4.14,11378.1,4288.4
1590000US1208615055,Country Walk CDP,15997,4897,2.62,0.04,2.58,6201.6,1898.4
1590000US1208615968,Cutler Bay town,40286,14620,10.24,0.4,9.83,4096.3,1486.6
1590000US1208617935,Doral city,45704(r40506),17785(r17161),15.2,1.32,13.88,3293.4,1281.6
1590000US1208620650,El Portal village,2325,939,0.38,0,0.38,6148.7,2483.3
1590000US1208622375,Fisher Island CDP,132,226,0.29,0.01,0.28,463.8,794.1
1590000US1208622975,Florida City city,11245,3792,6.02,0.07,5.95,1888.7,636.9
1590000US1208624562,Fountainebleau CDP,59764(r40507),23181(r17162),4.5,0.24,4.26,14030.5,5442.1
1590000US1208625987,Gladeview CDP,11535,4141,2.56,0.01,2.56,4506.9,1618
1590000US1208626100,Glenvar Heights CDP,16898,8322,4.33,0.22,4.12,4106.2,2022.3
1590000US1208626250,Golden Beach town,919,355,0.41,0.08,0.34,2737.7,1057.5
1590000US1208626375,Golden Glades CDP,33145(r40510),10915(r17165),5.07,0.19,4.88,6797.2,2238.4
1590000US1208626950,Goulds CDP,10103,3302,2.94,0.03,2.91,3475.2,1135.8
1590000US1208630000,Hialeah city,224669(r40511),74067(r17166),22.84,1.39,21.45,10474.2,3453
1590000US1208630025,Hialeah Gardens city,21744,6629,3.68,0.43,3.25,6690.1,2039.6
1590000US1208632275,Homestead city,60512(r40514),23419(r17169),15.62,0.48,15.14,3996.9,1546.9
1590000US1208632325,Homestead Base CDP,964,57,4.35,0.11,4.24,227.5,13.5
1590000US1208633425,Indian Creek village,86,33,0.47,0.04,0.43,200.6,77
1590000US1208634175,Islandia city,18,3,66.39,61.07,5.32,3.4,0.6
1590000US1208634400,Ives Estates CDP,19525,8023,2.76,0.25,2.5,7804,3206.7
1590000US1208636062,Kendale Lakes CDP,56148,19185,8.63,0.54,8.1,6933.3,2369
1590000US1208636100,Kendall CDP,75371,31899,16.6,0.52,16.08,4687.2,1983.7
1590000US1208636121,Kendall West CDP,36154,12317,3.01,0.26,2.75,13146.9,4478.9
1590000US1208636300,Key Biscayne village,12344,7072,1.36,0.13,1.23,10070.7,5769.6
1590000US1208639950,Leisure City CDP,22655,6958,3.4,0.07,3.33,6803.2,2089.5
1590000US1208643900,Medley town,838,350,5.9,1.17,4.73,177.2,74
