Target Geo Id,Target Geo Id2,Geographic area,Total population,Percent of total population - Race - One Race - White,Percent of total population - Race - One Race - Black or African American,Percent of total population - Race - One Race - American Indian and Alaska Native,Percent of total population - Race - One Race - Asian,Percent of total population - Race - One Race - Native Hawaiian and Other Pacific Islander,Percent of total population - Race - One Race - Some Other Race,Percent of total population - Race - Two or More Races,Percent of total population - Hispanic or Latino (of any race),"Percent of total population - White Alone, not Hispanic or Latino"
1590000US1208602681,1208602681,Aventura city,35762,90.4,3.9,0.1,1.8,0,2,1.7,35.8,57.9
1590000US1208603275,1208603275,Bal Harbour village,2513,95,2.1,0.1,0.9,0,0.8,1.1,28.7,68.1
1590000US1208603975,1208603975,Bay Harbor Islands town,5628,91.5,2.5,0.2,1.2,0,2.2,2.3,46.3,49.1
1590000US1208606600,1208606600,Biscayne Park village,3055,72.4,17.6,0.2,3.3,0.1,2.8,3.6,35.2,43.4
1590000US1208609000,1208609000,Brownsville CDP,15313,19.8,74.7,0.3,0,0,3.3,1.8,25.7,1.2
1590000US1208614250,1208614250,Coral Gables city,46780(r40503),91,3,0.1,2.7,0,1.4,1.8,53.6,40.1
1590000US1208614412,1208614412,Coral Terrace CDP,24376,94.9,1.6,0.1,0.6,0,1.6,1.3,88.6,10.3
1590000US1208614895,1208614895,Country Club CDP,47105,77.4,13.3,0.1,1.9,0,4.9,2.4,78.8,8
1590000US1208615055,1208615055,Country Walk CDP,15997,82,10,0.1,2.7,0.1,2.6,2.6,70.2,16.6
1590000US1208615968,1208615968,Cutler Bay town,40286,77.3,14.2,0.2,2.3,0.1,2.7,3.2,54.5,28.5
1590000US1208617935,1208617935,Doral city,45704(r40506),88.7,2.5,0.1,3.6,0,3,2.1,79.5,14.6
1590000US1208620650,1208620650,El Portal village,2325,39.8,50.1,0.1,1.2,0,3.9,4.8,28.6,19
1590000US1208622375,1208622375,Fisher Island CDP,132,92.4,2.3,0,4.5,0,0,0.8,15.2,77.3
1590000US1208622975,1208622975,Florida City city,11245,39.1,52.4,0.2,0.3,0,5.3,2.6,42.4,5.6
1590000US1208624562,1208624562,Fountainebleau CDP,59764(r40507),91.2,2.2,0.1,1.5,0,3,2,91.6,6
1590000US1208625987,1208625987,Gladeview CDP,11535,17.4,75.2,0.1,0.2,0,4.6,2.4,24.2,1.4
1590000US1208626100,1208626100,Glenvar Heights CDP,16898,88.8,3.2,0.1,2.8,0,2.9,2.1,66.5,27
1590000US1208626250,1208626250,Golden Beach town,919,97.8,1.7,0,0.3,0,0.1,0,26.2,71.8
1590000US1208626375,1208626375,Golden Glades CDP,33145(r40510),19.4,72.8,0.3,1.6,0.1,2.8,3.1,18.5,7
1590000US1208626950,1208626950,Goulds CDP,10103,39.1,55.2,0.2,0.6,0,2.5,2.3,41,4.2
1590000US1208630000,1208630000,Hialeah city,224669(r40511),92.6,2.7,0.1,0.4,0,2.6,1.6,94.7,4.2
1590000US1208630025,1208630025,Hialeah Gardens city,21744,92.9,2.2,0.1,0.7,0,2.7,1.4,94.9,4.1
1590000US1208632275,1208632275,Homestead city,60512(r40514),66.9,20.4,0.4,1.2,0.1,7.3,3.8,62.9,16
1590000US1208632325,1208632325,Homestead Base CDP,964,40.6,55.4,0.3,0.2,0.4,2.7,0.4,33.7,14.3
1590000US1208633425,1208633425,Indian Creek village,86,98.8,0,0,1.2,0,0,0,27.9,70.9
1590000US1208634175,1208634175,Islandia city,18,100,0,0,0,0,0,0,88.9,11.1
1590000US1208634400,1208634400,Ives Estates CDP,19525,40.3,50,0.3,3,0,3,3.5,27.7,18.6
1590000US1208636062,1208636062,Kendale Lakes CDP,56148,92.1,2.2,0.1,1.4,0,2.4,1.8,86.5,10.6
1590000US1208636100,1208636100,Kendall CDP,75371,87.9,4.4,0.1,3,0,2.3,2.2,63.7,28.4
1590000US1208636121,1208636121,Kendall West CDP,36154,89.8,3.2,0.2,1.2,0,3.4,2.2,88.3,8.2
1590000US1208636300,1208636300,Key Biscayne village,12344,96.2,0.4,0.1,1.1,0,1,1.2,61.6,36.5
1590000US1208639950,1208639950,Leisure City CDP,22655,73,17.5,0.2,0.9,0,5.8,2.6,74.9,8
1590000US1208643900,1208643900,Medley town,838,93.1,1,0.2,0,0,2.7,3,92.2,7.4
1590000US1208645000,1208645000,Miami city,399457(r40516),72.6,19.2,0.3,1,0,4.2,2.7,70,11.9
1590000US1208645025,1208645025,Miami Beach city,87779(r40518),87.4,4.4,0.3,1.9,0.1,3.4,2.7,53,40.5
1590000US1208645060,1208645060,Miami Gardens city,107167(r40520),18.3,76.3,0.2,0.6,0,2.3,2.2,22,2.6
1590000US1208645100,1208645100,Miami Lakes town,29361,91.7,3.3,0.1,1.5,0,1.8,1.6,81.1,14.4
1590000US1208645175,1208645175,Miami Shores village,10493,68.1,23.8,0.3,2.6,0.1,2.3,2.8,30.6,42.1
1590000US1208645200,1208645200,Miami Springs city,13809,93.4,1.6,0.2,1.2,0,1.9,1.7,71.2,26.3
1590000US1208647700,1208647700,Naranja CDP,8303,47.9,41.3,0.3,2.3,0,5.2,3,51.6,6.3
1590000US1208649225,1208649225,North Bay Village city,7137,82.6,6.1,0.2,4.1,0.1,3.5,3.4,58,31
1590000US1208649450,1208649450,North Miami city,58786(r40521),32.6,58.9,0.4,1.7,0.1,3.2,3.2,27.1,12.4
1590000US1208649475,1208649475,North Miami Beach city,41523,47.1,41.4,0.2,3.4,0.1,4,3.8,36.6,18.4
1590000US1208651125,1208651125,Ojus CDP,18036,81.2,10.1,0.1,2.1,0,3.6,2.9,44.2,43.1
1590000US1208651475,1208651475,Olympia Heights CDP,13488,95.2,1.2,0.3,0.6,0.1,1.6,1,85.8,13.2
1590000US1208651650,1208651650,Opa-locka city,15219,27.7,65.8,0.2,0.2,0.2,3.8,2.1,35.3,2.1
1590000US1208654275,1208654275,Palmetto Bay village,23410(r40523),84.9,6.2,0.1,4.5,0,2.1,2.1,38.6,49.5
1590000US1208654300,1208654300,Palmetto Estates CDP,13535,47.4,41.8,0.1,3.3,0.1,3.3,4,43.1,11.4
1590000US1208654500,1208654500,Palm Springs North CDP,5253,95.2,1.4,0.1,0.5,0,1.7,1.1,77.7,21
1590000US1208656625,1208656625,Pinecrest village,18223,90.1,2,0.1,5.3,0,0.9,1.6,41.3,50.4
1590000US1208657250,1208657250,Pinewood CDP,16520,17.5,75.3,0.2,0.5,0,3.7,2.7,22.8,2.2
1590000US1208658975,1208658975,Princeton CDP,22038,60.5,30.7,0.2,1.4,0,4.3,2.9,60.9,8.4
1590000US1208660225,1208660225,Richmond Heights CDP,8541,22.8,72.1,0.3,0.4,0,1.6,2.8,25,2.9
1590000US1208660230,1208660230,Richmond West CDP,31973,82.3,7.8,0.2,2,0,4.7,3,78.5,11.8
1590000US1208667550,1208667550,South Miami city,11657,75.1,17,0.3,3.9,0,1.7,2,43.1,35.4
1590000US1208667575,1208667575,South Miami Heights CDP,35696,67.2,24.3,0.2,1.5,0,3.7,3.1,68,7.2
1590000US1208669555,1208669555,Sunny Isles Beach city,20832,90.6,3.2,0.2,1.4,0,2.4,2.2,44.4,50.2
1590000US1208669812,1208669812,Sunset CDP,16389,93.4,1.3,0.1,2,0,1.8,1.4,80.3,16.3
1590000US1208670075,1208670075,Surfside town,5744,94.6,1.3,0.1,1.3,0,1,1.7,46.5,50.1
1590000US1208670345,1208670345,Sweetwater city,13499,92.4,1.8,0.2,0.5,0,3,2.1,95.5,3.5
1590000US1208670700,1208670700,Tamiami CDP,55271(r40525),94.5,1.3,0.1,0.7,0,2,1.3,92.7,6.2
1590000US1208671567,1208671567,The Crossings CDP,22758,88,4.7,0.1,2.5,0,2.2,2.4,69.4,22.4
1590000US1208671569,1208671569,The Hammocks CDP,51003,85,6.1,0.2,3.1,0,2.7,2.9,76.9,14
1590000US1208671741,1208671741,Three Lakes CDP,15047,78.1,10.4,0.2,4.6,0,3.3,3.3,65.4,18.6
1590000US1208673287,1208673287,University Park CDP,26995,90.2,4.5,0.1,1.9,0,1.7,1.6,85,9.3
1590000US1208674575,1208674575,Virginia Gardens village,2375,90.7,2.7,0,1.7,0,2.8,2.1,77.3,19.3
1590000US1208676075,1208676075,Westchester CDP,29862,95.7,1.2,0.1,0.4,0,1.4,1.2,91.1,8.1
1590000US1208676487,1208676487,West Little River CDP,34699,42.7,49.3,0.2,0.2,0,4.9,2.7,50.6,2.6
1590000US1208676525,1208676525,West Miami city,5965,95,1.3,0.2,0.2,0,1.9,1.3,90.2,9.1
1590000US1208676700,1208676700,West Perrine CDP,9460,30.9,62.7,0.3,1,0,2.9,2.2,31.7,5.2
1590000US1208676950,1208676950,Westview CDP,9650,23.7,69.5,0.3,0.2,0.1,3.5,2.8,29.6,2.3
1590000US1208677075,1208677075,Westwood Lakes CDP,11838,94.2,1.3,0,1,0,1.8,1.7,86,12.5
